clusterName,clusterSize,f_score,PPV,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,cluster,,,
23,941,0.638793907367112,0.722319859402461,47755,158,530,411,2,Gm6260|Fras1,Gm6260|Gm42705|Fras1|Ndst4|Ndst3|Tox|Ntng1|Sorcs1|Ldb2|Cntn4,ProS,,,
24,935,0.553183920313056,0.663113006396588,47761,158,624,311,3,Exph5|Pdzrn3|Efna5,Exph5|Kcnh5|Rorb|Pdzrn3|Pde7b|Efna5|Mef2c|Nrg1|Cdh12|Ptprd,L4,IT,CTX,
25,931,0.571335292197192,0.656660412757974,47740,183,581,350,2,Anln|Enpp6,Mob3b|Anln|Enpp6|Apod|Myo1e|Tmem117|Mir100hg|Slco3a1|Cntn3|Robo1,Oligo,,,
26,903,0.715655718053225,0.730722154222766,47731,220,306,597,1,Gm6145,Gjb6|Slc7a11|Atp13a4|F3|Gli3|Gm6145|Gja1|Atp1a2|Rorb|Pla2g7,Astro-1,,,
27,773,0.646200085873766,0.773778920308483,47993,88,472,301,3,Prlr|Vwc2l|Tshz2,Cdc14a|Prlr|Unc13c|Vwc2l|Pbx3|Tshz2|Camk2d|Sgcd|Dcc|Pcdh7,L2/3,IT,PAR,
28,751,0.503199534613147,0.714876033057851,48034,69,578,173,3,Fbln2|Sema3e|Slit2,Fbln2|Fibcd1|Sema3e|Gm41414|Ntng1|Slit2|Tenm1|Kcnip4|Kcnb2|Cadm2,CA1-ve,,,
29,726,0.412019826517968,0.599099099099099,48039,89,593,133,1,Tspan2,Opalin|Mal|Tspan2|Mobp|Sytl2|Mbp|Pde4b|Synpr|Pak1|Tmeff2,Oligo,,,
30,722,0.829769033361848,0.96039603960396,48116,16,334,388,2,Sntb1|Vwc2l,Sntb1|Sema5b|Kcnh8|Vwc2l|Mcc|Cntn6|Olfm3|Sgcd|Kcnip1|Arap2,NP,SUB,,
31,679,0.509596293845136,0.740384615384615,48121,54,525,154,3,Stk32b|Trhr|Scn9a,Ecm2|Stk32b|Trhr|Antxr2|Ano2|Scn9a|Trpm3|Prr16|Cdh13|Thsd7b,DG,,,
32,616,0.806113902847571,0.869074492099323,48180,58,231,385,1,Vip,Vip|Rgs12|Igf1|Adarb2|Npas3|Dlx6os1|Prox1|Erbb4|Synpr|Gad2,Vip,,,
33,519,0.745692216280452,0.862542955326461,48295,40,268,251,2,Fn1|Rxfp1,Nts|Fn1|Mirt1|Stac|Rxfp1|Bcl6|Brinp3|Adgra1|Astn2|Hcn1,SUB,,,
