clusterName,clusterSize,f_score,PPV,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes
33,749,0.54002541296061,0.632754342431762,62062,148,494,255,2,Enpp6|Anln,Enpp6|A330049N07Rik|Mob3b|Rftn1|Anln|Trf|Spock3|Tmem117|Cntn3|Robo1
34,720,0.57013358778626,0.694767441860465,62134,105,481,239,3,Ccdc3|Thsd7a|Slc24a3,Whrn|Ccdc3|Scn7a|Vav3|Thsd7a|Slc24a3|Hs6st3|Sorcs1|Rora|Cntn5
35,682,0.463246554364472,0.775641025641026,62242,35,561,121,2,Htr4|Nckap5,L3mbtl4|Adamts2|Htr4|Gm19410|Nckap5|Ntng1|Cdh13|Slc16a2|Kirrel3|Pex5l
36,673,0.43614931237721,0.474358974358974,62040,246,451,222,2,Pbx3|Adarb2,Tshz1|Pbx3|Adarb2|Dlx6os1|Sox2ot|Meis2|Csmd1
37,652,0.55672268907563,0.613425925925926,62140,167,387,265,2,Tac1|Kcnc2,Rbp4|Tmem132c|Tac1|Gm32647|Kcnc2|Cntnap5c|Grik1|Kcnmb2|Erbb4|Trpc4
38,511,0.719557195571956,0.924170616113744,62432,16,316,195,2,Adarb2|Cnr1,Cxcl14|Npas1|Adarb2|Sema3c|Npas3|Cnr1|Kcnip1|Dlx6os1|Slc44a5|Grip1
39,474,0.770735524256651,0.980099502487562,62481,4,277,197,2,Ranbp3l|Slc6a13,Ranbp3l|Aox3|Col4a6|Bmp6|Dcn|Slc6a13|Col4a5|Aebp1|Slc7a11|Slc6a20a
40,457,0.390532544378698,0.680412371134021,62471,31,391,66,2,Igfbp5|Apoe,Igfbp5|Apoe|Clu|Gpc5|Cst3|Slc1a2|Luzp2|Lsamp|Pcdh7|Pcdh9
41,449,0.701590271281572,0.967741935483871,62505,5,299,150,1,9630013A20Rik,9630013A20Rik|Bcas1os2|Gm10863|Bcas1|Tns3|Mpzl1|St18|Mobp|Nfasc|Tmeff2
42,407,0.647482014388489,0.767772511848341,62503,49,245,162,1,Ano1,Ano1|Myo5b|Col25a1|Nkain3|Trpc4|Zfhx3|Zfp521|Trpm3|Dgkg
43,348,0.947473404255319,0.986159169550173,62607,4,63,285,1,Slc47a1,Slc47a1|Bnc2|Adamtsl3|Mgp|Car13|Slc26a7|Tbx15|Fbxl7|Eya2|Fn1
44,307,0.0012349204634039,0.0009902828495389,30370,32282,275,32,1,Kcnip4,Lingo2|Dpp10|Nrg1|Kcnq5|Kcnip4|Snhg11|Cntnap2|Meg3|Nrg3|Gria2
45,278,0.927350427350427,0.973094170403587,62675,6,61,217,2,Slco1a4|Flt1,Adgrl4|Slco1a4|Cldn5|Flt1|Ly6c1|Slc2a1|Adgrf5|Mecom|Ptprb|Ly6a
46,251,0.532623169107856,0.64,62663,45,171,80,1,Stab1,Stab1
47,223,0.778491171749599,0.97,62733,3,126,97,2,Oprk1|Nr4a2,Oprk1|Nr4a2|Fap|Col24a1|Sstr2|Gm34567|Gnb4|Col11a1|Ntng2|B130024G19Rik
48,207,0.727136431784108,0.843478260869565,62734,18,110,97,2,Apbb1ip|C030029H02Rik,Apbb1ip|C030029H02Rik|1700047M11Rik|Prr5l|Aspa|Sec14l5|Ninj2|St18|Ugt8a|Mag
49,126,0.616740088105727,0.682926829268293,62807,26,70,56,2,Atp13a5|Egflam,Atp13a5|Slc38a11|Abcc9|Tbx3os1|Egflam|Dock6|Art3|Plce1|Vtn|Ebf1
50,117,0.642570281124498,0.96969696969697,62841,1,85,32,2,Pthlh|Thsd7a,Sfta3-ps|Pde3a|Lamb1|Pthlh|Thsd7a|Il1rapl2|Trps1|Cntnap5b|Zfp804b|Grip1
51,86,0.782608695652174,1,62873,0,50,36,2,Il16|Arhgap6,Il16|Map3k15|Tspan18|St8sia6|Olfml2b|Arhgap6|Wipf3|Trpm3|Arhgef28|Zbtb20
