clusterName,clusterSize,f_score,PPV,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,cluster
27,900,0.563063063063063,0.757575757575758,58672,80,650,250,3,Adamts18|Il1rapl2|Rmst,Adamts18|Slc26a4|Thsd4|Rspo2|Il1rapl2|Rmst|Ntng1|Cpne7|C1ql3|Zfp804b,L6 IT CTX
28,856,0.579769736842105,0.715736040609137,58684,112,574,282,3,A330049N07Rik|Anln|Enpp6,A330049N07Rik|Hapln2|Anln|Enpp6|Apod|Trf|St6galnac3|Ctnna3|Tmem117|Robo1,Oligo
29,755,0.899386503067485,0.883132530120482,58800,97,22,733,1,Vip,Tac2|Vip|Igf1|Prox1|Egfr|Shisa6|Adarb2|Slc44a5|Synpr|Dlx6os1,Vip
30,737,0.829668132746901,0.941043083900227,58889,26,322,415,2,Pde11a|Kit,Sv2c|Crispld1|Pnoc|Pde11a|Kit|Npy|Fgf13|Alk|Egfr|Adarb2,Lamp5
31,691,0.495085547870404,0.529182879377432,58719,242,419,272,2,Htr4|Cdh13,L3mbtl4|Htr4|Adamts2|Gm2164|Gm19410|Cdh13|Kirrel3|Nckap5|Cadm1|Lingo2,L5 PT CTX
32,690,0.551948051948052,0.745019920318725,58898,64,503,187,3,Whrn|1700047F07Rik|Thsd7a,Whrn|1700047F07Rik|Plxnd1|Kcnk2|Thsd7a|Rorb|Hs6st3|Slc24a3|Cntn5|Rora,L4/5 IT CTX
33,651,0.365906155832975,0.406698564593301,58753,248,481,170,5,Robo3|Kctd8|Kcnh5|Unc5d|Hs6st3,Robo3|Kctd8|Kcnh5|Cux1|Unc5d|Hs6st3|Rasgrf2|Lrrtm4|Robo1|Nkain2,L4/5 IT CTX
34,556,0.581103678929766,0.86875,59075,21,417,139,2,Tac1|Rbp4,Tac1|Rbp4|Tmem132c|Gm32647|Kcnc2|Slit2|St6galnac5|Chrm2|Enox1|Cadm2,Pvalb
35_1,233,0.801576872536137,0.924242424242424,59409,10,111,122,2,Frem1|Cnr1,Frem1|Plppr1|Slc44a5|Adarb2|Cnr1|Eps8|Col25a1|Dlx6os1|Grip1|Necab1,Sncg
35_2,191,0.598194130925508,0.841269841269841,59451,10,138,53,2,Ndst4|Cxcl14,Ndnf|Ndst4|Rxfp1|Cxcl14|Chrna7|Adarb2|Npas3|Zfp804b|Erbb4|Grik2,Lamp5
35_3,128,0.52734375,0.84375,59519,5,101,27,3,Gm39185|B130024G19Rik|Thsd7a,Gm39185|Gm49980|B130024G19Rik|Igf1|Thsd7a|Adarb2|Dlx6os1|Cntnap5c|Thsd7b|Kcnc2,Vip
36,546,0.814087759815243,0.824561403508772,59016,90,123,423,1,Ccn2,Ccn2|Gm41414|Clic5|Moxd1|Svil|Fbxl7|C130073E24Rik|Inpp4b|Tmem163|Rai14,L6b CTX
37,473,0.76742364917776,0.975124378109453,59174,5,277,196,2,Aox3|Slc6a13,Ranbp3l|Aox3|Slc6a13|Bmp6|Tbx18|Dcn|Slc7a11|Slc6a20a|Colec12|Cp,VLMC
38,467,0.373525557011796,0.77027027027027,59168,17,410,57,2,Igfbp5|Clu,Igfbp5|Gpc5|Clu|Cst3|Slc1a2|Luzp2|Lsamp|Pcdh9|Mdga2,Astro
39,348,0.870786516853933,0.865921787709497,59256,48,38,310,1,Bnc2,Tbx15|Adamtsl3|Bnc2|Slc9a2|Slc26a7|Car13|Eya2|Fbxl7|Dock5|Gm6260,ABC
40,296,0.670871559633028,0.8125,59329,27,179,117,2,Tspan2|Mobp,Cnp|1700047M11Rik|Mal|Tspan2|Mobp|Opalin|Mog|Phldb1|Mag|Pde4b,Oligo
41,277,0.923866552609068,0.968609865470852,59368,7,61,216,2,Slco1a4|Flt1,Cldn5|Adgrf5|Slco1a4|Flt1|Adgrl4|Itm2a|Cyyr1|Slc2a1|Mecom|Pglyrp1,Endo
42,229,0.785234899328859,0.906976744186047,59411,12,112,117,1,Mrc1,Mrc1|F13a1|Lyz2|Stab1|Dab2|Arhgap15|Rbpj,BAM
43,224,0.778145695364238,0.989473684210526,59427,1,130,94,2,Nr4a2|Col11a1,Col24a1|Nr4a2|Oprk1|Gnb4|Gfra1|Col11a1|Ntng2|Smoc2|Tmem163|Rgs12,Car3
44,224,0.841584158415842,0.931506849315068,59418,10,88,136,1,Tns3,Gpr17|9630013A20Rik|Bmp4|Arhgap24|Mpzl1|Tns3|Bcas1|Ppfibp1|Itpr2|Ust,Oligo
45,206,0.803814713896458,0.893939393939394,59432,14,88,118,2,Csf1r|Mog,Trim59|A230001M10Rik|Csf1r|Mog|Aspa|Mal|Opalin|Mag|Apod|Gm16168,Micro
46,135,0.747252747252747,0.85,59505,12,67,68,1,Tacr1,Nos1|Tacr1|Npy|Col25a1|Sox2ot,Sst Chodl
47,130,0.622270742358079,0.695121951219512,59497,25,73,57,2,Atp13a5|Tbx3os1,Atp13a5|Abcc9|Art3|Slc38a11|Plce1|Tbx3os1|Notch3|Pdgfrb|Vtn|Slc6a20a,Peri
48,117,0.612244897959184,0.9375,59533,2,87,30,2,Sfta3-ps|Lamb1,Sfta3-ps|Pde3a|Lamb1|Unc5b|Pthlh|Crtac1|Thsd7a|Trps1|Scg2|Cntnap5b,Pvalb Vipr2
